ASSESSMENT_ID,SCENARIO,TOOLKIT_VERSION,ASSESSMENT_TITLE,ASSESSMENT_DATE
e7c54a0bf908709833661be9a1644a5b4b849ba10571e784354fd9d3f0cc6447,EIF,3.0.0,"SHACL, Shapes constraint language",4/26/2019
d55bf93aa2a8a11faeeb0dcbaf63e261da65fc37f931b79853b7bea28c5224e2,EIF,3.0.0,SAML 2.0 (Security Assertion Markup Language (SAML) V2.0),12/31/2019
2afa1d1e0a617a1be6041b6643a70f35cca92858b46be793f81cb8dd68e1ed54,EIF,3.1.0,Lightweight Directory Access Protocol (LDAP),2020-06-30
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,EIF,3.0.0,Data Catalogue Vocabulary 2.0 (DCAT 2),10/31/2019
3b6795acd286431abd3ed379dee974077aa5531bcab4f31d406c995a0fa5908f,EIF,3.0.0,XML Schema Definition Language (XSD) 1.1. Part 1 and 2.,3/31/2020
a9351ce2884fa57fabbb95fea0a1df1002a7b0c68caa3cce3c9cf6e883db44e2,EIF,3.0.0,Internet Protocol version 4 (IPv4),11/30/2019
901981adc7391f00196e37c503e590da0e8a58b0418d1eb3f620fef747da8d31,EIF,3.1.0,Asset Description Metadata Schema (ADMS),2020-06-30
c06cc1a04165f44d6f79637d1fe620687062023e31fafce3d99445286d6c50ab,EIF,3.0.0,Data Catalog Vocabulary - Application Profile for European Data Portals (DCAT-AP 2.0),10/31/2019
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,EIF,3.1.0,Portable Document Format/A (PDF/A),2020-08-31
060a5380b24b20ba703a48672ee51f26fd812f6154c129e2140eccbeb29ca84b,EIF,3.1.0,Web Services Business Process Execution Language (WS-BPEL) v2.0,2020-09-30
54c776d9735c57ef185ba79bc0897fb608614ff954f46963ff645a52ad50f8b2,EIF,3.0.0,Hypertext Markup Language v5 (HTML5),1/31/2020
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,EIF,3.0.0,Portable Document Format v 1.7 (PDF 1.7),12/31/2019
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,EIF,3.0.0,"XML, Extensible Markup Language 1.1",10/31/2019
5bf47462bd21f50184614b66ed6cd51ba140adf941b751450eab22eb8e2986e6,EIF,3.1.0,Joint Photographic Experts Group (JPEG),2020-08-31
94b52b30113447aa6dd02ce6fbe1210e7195520d55a08f6dc7da784a67e71d9c,EIF,3.0.0,Internet Protocol version 6 (IPv6),10/31/2019
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,EIF,3.1.0,eXtensible Access Control Markup Language (XACML) v3.0,2020-09-30
2d35486778e988c0b98ac0ae2fc1c174ffbfcb1d5af00bfc0c4db2321c775697,EIF,3.0.0,"Electronic Signatures and Infrastructures (ESI);
PAdES Baseline Profile",1/31/2019
acac5685942a665f2243d03af6817706ce20c914589d4ca71eadd4f93fb94b7f,EIF,3.1.0,Cascading Style Sheets (CSS) v2.1,2020-06-30
5e001e2970feba38f79d49846d1c73ef2623b889c04448de141eafd7685ee1a0,EIF,3.1.0,Core Criterion and Core Evidence Vocabulary (CCCEV) v1.0,2020-09-30
a86112691da8759a108fa48c02f657314a2fcdc6bbb425f727bb89f419fde3f8,EIF,3.0.0,Resource Description Framework 1.1 (RDF 1.1),12/31/2019
8d195b05db64fb4b62544fb55e920029bbb6b2a0fb514ed9323455aa21c4d850,EIF,3.0.0,"Electronic Signatures and Infrastructures (ESI);
CAdES Baseline Profile",1/31/2019
