assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A1,d7be9f0dd52944e6c25f5469c86355a42ae446838bd9759b4986d21f7db4814b,The standard or specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,5371117b-59dc-4a49-9c84-b85e151f1df3,1,d332d1c4-78fe-4690-9ed7-fb95aa10891d,"DCAT is included in the national catalogues of the Netherlands and Spain. Both Member States comply with at least 4 out of 5 sections of the EIF according to the NIFO factsheets.
                                                                       
See:                                                                                                                                        https://administracionelectronica.gob.es/pae_Home/dam/jcr:9e2c2877-5103-4934-8440-c60ba2e10c48/Catalogue_of_Standards_NIF_Spain.pdf                      https://www.forumstandaardisatie.nl/open-standaarden/lijst                                                                                                                            "
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A2,b6ba3f2f556446c68c55833e72b217be87ad5f0dd07744e2c39c6070aff6c10f,The standard or specification facilitates the publication of public data as open data.,c3ddc811-41df-4c38-9de1-436f4bc6ff68,1,a97c81e7-5c13-41b6-9f3f-73bd645a739a,"DCAT is an RDF vocabulary for representing data catalogues that allows data owners to provide metadata about the datasets they publish. By describing catalogues, datasets and resources, a publisher makes them easily searchable and discoverable.

In fact, DCAT is used for the publication of datasets in linked open data portals at a National (e.g. ) and European scale ( European Data Portal)

See:                                                                                                                                       https://joinup.ec.europa.eu/solution/dcat-application-profile-data-portals-europe/releases"
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,b9af0caf-f8a3-496a-8917-9b3099ef50c7,1,f6d79966-7ddb-4f96-96d9-0f7d39438d38,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Also, a clear Release Notes tracking the changes of the different versions is archived. 

See:               
W3C Process document
https://www.w3.org/2018/Process-20180201/#Policies   "
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,1c881390-e0d5-4c4a-ab91-0f92530f36dc,1,a7307932-b046-4425-bf18-f950c36ecc3b,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard, including a public review.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policie"
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A5,4a006ad6785e066d16c13daf48a60ee43ec33d1de1b06613c8e656ccf330a6d5,The standard or specification is available for everyone to study.,1093af90-552e-479e-a616-38d13da9318b,1,69a4b305-18b5-460a-8bf7-b6aca6145901,"DCAT is hosted at W3C's website and it is available to everyone for free for its use, implementation or study.                  

See:                                                                                                                                       https://www.w3.org/TR/vocab-dcat-2/"
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A6,e370a4af17e89cbb70bb5079082a1e21cdee85435c8fc30b12a8987f18db367f,The standard or specification is licensed on a (F)RAND basis,5b0b2642-0f35-46f7-b049-49fa5d8351da,1,7c5eccac-e006-497b-8650-ab5fd3d563b0,"The W3C Royalty-Free IPR licenses granted under the W3C Patent Policy apply to all W3C specifications, including DCAT.

See:
https://www.w3.org/TR/patent-practice#ref-AC "
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A7,ef096f898c938883daab1b22e784cfaf985b5e5c855e170ecf6eab6f37b01b50,The standard or specification is licensed on a royalty-free basis,830e4ad2-542c-4abd-91f5-e4db38fe6d4f,1,9758842c-9420-4150-bf11-f58eef0be174,"The W3C Royalty-Free IPR licenses granted under the W3C Patent Policy apply to all W3C specifications, including DCAT.

See:
https://www.w3.org/TR/patent-practice#ref-AC "
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A8,a67ecbc29e70e62b18dba3ae4f8d1f91d5b3196777dbf8b58c6713cd517eb768,The standard or specification is sufficiently mature and has sufficient market acceptance for its use in the development of products and services.,62586221-aa6c-4859-8962-c7d6b563bd19,1,0d4285dd-d15a-40b5-99ff-5f74bd0eb262,"The DCAT vocabulary has a strong support from the interest groups and is extensively used by public administrations’ for the exchange of data across borders and sectors.

Additionally, the specification is widely used by public administrations profiling or extending it to fit domain-specific or national requirements
- DCAT-AP: Application Profile for Public Sector Datasets.
- DCAT-AP-BE: Extension of DCAT-AP for Belgium specific requirements.
- StatDCAT-AP: Extension of DCAT-AP for the publication of statistical data.

See DCAT Implementations: 
https://www.w3.org/2011/gld/wiki/DCAT_Implementations "
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A9,cf1de0bf03a8ee372af0deddf9ef5c4609f5a7bb9c7e001c89d887c6789eaf56,The standard or specification fosters the creation of innovative solutions.,e83e44ba-bf2d-412a-8562-4d72368bbe91,1,98f746de-2693-4640-959a-7fa5d8eef2ff,"At the time of elaborating this assessment, DCAT is extensively used to create innovative linked open data solutions. Especially by public administration looking forward to foster cross-border interoperability and transparency.
"
79ef8940853ce9452c468bf6d0e1e93e37f519e07b492227d423c610c84ad78b,Data Catalogue Vocabulary 2.0 (DCAT 2),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),925e55b370f9ffea12944d9c8101b4580966ac0c7400dbda721eee2eec544a4b,a5b5fbe3-5c65-480d-83ac-d2bfb1fbffbb,Data Catalogue Vocabulary 2.0 (DCAT 2),https://www.w3.org/TR/vocab-dcat-2/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,Generic Specification,A10,45952fdf70996ce0d84052ae06887f396ec8124a40d59bd63926f3fd5edb786c,The standard or specification has a strong support from at least one developers community.,58f915d5-5d3a-4a87-97ae-494dc38bced7,1,73fa062b-d497-48ee-8e7b-76db06253291,"DCAT is maintained by W3C which is an international community developing open standards. 

See:
https://www.w3.org/Consortium/                                                                               https://github.com/w3c/dxwg/"
