assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A1,d7be9f0dd52944e6c25f5469c86355a42ae446838bd9759b4986d21f7db4814b,The standard or specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,24ed5d19-df85-4c85-9227-ab525367fde7,1,553c7c74-5714-438a-8b8f-5ddd04931ab9,"CSV is included in 3 national catalogues of recommended specifications. They belong to the Netherlands, Estonia, and Sweden. The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO)factsheets.

See:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A2,b6ba3f2f556446c68c55833e72b217be87ad5f0dd07744e2c39c6070aff6c10f,The standard or specification facilitates the publication of public data as open data.,bd3d7571-2096-438e-bb21-704222714912,1,857f7fca-0a48-48f7-bd6d-1b0f411f349e,"CSV can be considered a facilitator to publish public administrations data as open data. As 5 Stars Open Data model of Tim Berners-Lee states, CSV makes sure content is available on the web, structures data and makes it usable in a non-proprietary open format.

See:
https://5stardata.info/en/"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,cb7d1da2-77e1-4c95-9329-e1fa817107af,1,51bd8c9e-dda5-49eb-9ba9-0d15a64b7718,"IETF has a formal review and approval so that all the relevant stakeholders can formally appeal or raise objections to the development and approval of specifications.

Each distinct version of an Internet standards-related specification is published as part of the ""Request for Comments"" (RFC) document series. This archival series is the official publication channel for Internet standards documents and other publications.

During the development of a specification, draft versions of the document are made available for informal review and comment by placing them in the IETF's ""Internet-Drafts"" directory, which is replicated on a number of Internet hosts. This makes an evolving working document readily available to a wide audience, facilitating the process of review and revision.

See:
https://www.ietf.org/standards/process/ 
https://tools.ietf.org/html/rfc2026"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,746e1d1b-9a1e-4fcc-b71d-ff3a6003a5e9,1,52b3f71a-b04f-44b2-87e0-932c1ad4a049,"The IETF is a consensus-based group, and authority to act on behalf of the community requires a high degree of consensus and the continued consent of the community. The process of creating and Internet Standard is straightforward: a specification undergoes a period of development and several iterations of review by the Internet community and revision based upon experience, is adopted as a Standard by the appropriate body... and is published. In practice, the process is more complicated, due to (1) the difficulty of creating specifications of high technical quality; (2) the need to consider the interests of all of the affected parties; (3) the importance of establishing widespread community consensus; and (4) the difficulty of evaluating the utility of a particular specification for the Internet community. The goals of the Internet Standards Process are:
- Technical excellence;
- prior implementation and testing;
- clear, concise, and easily understood documentation;
- openness and fairness; and 
- timeliness.
The goal of technical competence, the requirement for prior implementation and testing, and the need to allow all interested parties to comment all require significant time and effort. The Internet Standards Process is intended to balance these conflicting goals. The process is believed to be as short and simple as possible without sacrificing technical excellence, thorough testing before adoption of a standard, or openness and fairness.
See:
https://www.ietf.org/standards/process/"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A5,4a006ad6785e066d16c13daf48a60ee43ec33d1de1b06613c8e656ccf330a6d5,The standard or specification is available for everyone to study.,968affc8-f410-42df-859d-bd6b77498682,1,138124d3-e1c4-427d-82c8-ebe4965dce09,"CSV is publicly available for implementation and use, and therefore for everyone to study, for free on IETF webpage. 
See:
https://tools.ietf.org/html/rfc4180 "
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A6,e370a4af17e89cbb70bb5079082a1e21cdee85435c8fc30b12a8987f18db367f,The standard or specification is licensed on a (F)RAND basis,8807551a-e99e-4949-a195-6eded45fefb2,1,36e3008e-340d-4f13-a21f-9f7c5a9112bb,"Like all the IETF standards, CSV is a free and open technical specification, built on IETF standards and licenses from the Open Web Foundation. CSV is therefore licensed on a royalty-free basis.
No IPR disclosures have been submitted directly on the IPv6 specification (RFC 2818).
See:
https://tools.ietf.org/html/rfc3668"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A7,ef096f898c938883daab1b22e784cfaf985b5e5c855e170ecf6eab6f37b01b50,The standard or specification is licensed on a royalty-free basis,4b9f9229-111a-4f67-b76e-4a7cb66ce785,1,029e451f-2d8b-4bb0-86e4-0cb6e6304f7c,"Like all the IETF standards, CSV is a free and open technical specification, built on IETF standards and licenses from the Open Web Foundation. CSV is therefore licensed on a royalty-free basis.
No IPR disclosures have been submitted directly on the IPv6 specification (RFC 2818).
See:
https://tools.ietf.org/html/rfc3668"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A8,a67ecbc29e70e62b18dba3ae4f8d1f91d5b3196777dbf8b58c6713cd517eb768,The standard or specification is sufficiently mature and has sufficient market acceptance for its use in the development of products and services.,f2af89fe-1867-474d-9ec3-a7abcbb8a5b2,1,cb68ac9d-a0d8-42cb-9b70-33497262e920,"CSV is one of the most popular formats for publishing data on the web. An example of those developments is CSV Dialect which aims to deal with a reasonably large subset of the features which differ between dialect.
Add history, structured data, support from wide range of organisations (private and public)
See:
https://frictionlessdata.io/specs/csv-dialect/"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A9,cf1de0bf03a8ee372af0deddf9ef5c4609f5a7bb9c7e001c89d887c6789eaf56,The standard or specification fosters the creation of innovative solutions.,e5740be3-cc64-4d81-8bf0-369ed2617960,1,ee9d67ee-e2b1-464a-a425-4a5d0388d6d7,"The specifications promotes innovation as CSV Dialect to simplify the format to be able to describe various CSV dialects.
Rewrite, more detail
See:
https://frictionlessdata.io/specs/csv-dialect/"
fdfa9010ee23bfe408ae58b956d60072da1df2d381d3221d83be72ffa2d943e4,Comma-Separated Values (CSV),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),356b06eaeb0797b4d35e627c84d00bc3de5d72ebfb51f720b77bd4a5548e2704,bae35d2f-4cbe-4894-b664-524b7b480d8a,Comma-Separated Values (CSV),https://tools.ietf.org/html/rfc4180,888cf0b93c3579f6c2782f5252e66631753f4654323c600c5df8c573d796c37b,IETF (https://www.ietf.org/),,,,,,,,,,,,,12/31/2019,International Standard,A10,0229101dfe08cbe58da1e454363d30a8178a2e120466c8db23965488cae5c8b1,The standard or specification has a strong support from at least one developer community.,abd6cfb4-e7cd-47e6-9f8a-f9a1735adc6e,1,e033caf0-5139-4df6-bd97-b0a61b4b9e2b,"CSV has been developed and maintained by IETF. Additionally, the W3C has published a recommendation enhancing specific features of the specification. Both organisation are International Organisations concerned with the development of the Internet.  
See: 
https://tools.ietf.org/html/rfc4180
https://www.w3.org/TR/tabular-data-model/"
