assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A1,d7be9f0dd52944e6c25f5469c86355a42ae446838bd9759b4986d21f7db4814b,The standard or specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,95f3d5df-e4ca-4617-8ac5-01e030825959,1,24dbea11-5764-4a60-83c6-4895329f0255,"PDF is included in 3 national catalogues of recommended specifications. They belong to the Netherlands, Spain, and Estonia. The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets.
See:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets
"
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A2,b6ba3f2f556446c68c55833e72b217be87ad5f0dd07744e2c39c6070aff6c10f,The standard or specification facilitates the publication of public data as open data.,504227a2-8d65-4b11-940f-2e8e5049d909,1,fe1e2569-5247-461e-b82f-e0dfd38ffaad,"As a document format, PDF 1.7 helps to make data available on the internet. This fact demonstrates that the standard is supporting the first level of maturity from Tim Berners Lee's 5 stars schema for Open data. 

See: 
https://5stardata.info/es/"
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,4540b38f-56cc-42b7-b860-80f7276309e7,1,d57460d8-138d-424b-bc42-e51b01b899b8,"ISO has defined a clear procedure to develop its standards. It consist in a 6-steps process where only the full members can participate and influence the development of ISO standards. Individual or organisations cannot be part of the ISO Member bodies, however, ISO has a wide network around the globe in order to capture information from the maximum stakeholders possible. 

Technical committees are in charge of the development of the standards. ISO has defined the roadmap of standards, it is composed of 6 steps as before said.

For the approval of an standard the two thirds majority of P-members of TS is needed. If the result is negative, the document is returned to TC/SC for further studied.  

See: 
http://www.isotc292online.org/projects/iso-process/ "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,50230e16-dacd-4038-8509-90231c7d1d6a,1,eb94ed65-3390-407f-a50f-a66b00166e0f,"As defined on the TC standardisation, only ISO members are involved in the development of ISO standards. A public review is carried out to arrange the consensus firstly within the TC members and subsequently is reviewed by the different ISO member bodies. 
See: 
http://www.isotc292online.org/projects/iso-process/ "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A5,4a006ad6785e066d16c13daf48a60ee43ec33d1de1b06613c8e656ccf330a6d5,The standard or specification is available for everyone to study.,14a09f7b-a30a-4b76-be0f-ecb32fd937b6,0,09d0b03c-d25d-4028-88ec-c3b48fa04f48,"The ISO 32000-1:2008 which refers to PDF 1.7 is not available for free for everyone to study. Payment is needed to reach access to the standard. 
See:
https://www.iso.org/standard/51502.html "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A6,e370a4af17e89cbb70bb5079082a1e21cdee85435c8fc30b12a8987f18db367f,The standard or specification is licensed on a (F)RAND basis,fd62c7bb-a356-41a2-9fe9-f2444dc237a1,1,1153ea5f-ad03-4745-8e77-6968fa7429d2,"In accordance with Common Patent Policy for ITU-T/ITU-R/ISO/IEC the ISO 32000-1:2008 is licensed under (F)RAND basis and Royalty-free basis. Although  there are terms included that allow patent holder to apply specific costs. It is defined in IPR disclosures that can be found at ISO's webpage. 

See:
https://www.iso.org/iso-standards-and-patents.html
https://isotc.iso.org/livelink/livelink/fetch/2000/2122/3770791/16231513/2008-04-20_AdobeSystemsIncorporated_32000-1.pdf?nodeid=17314064&vernum=-2 "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A7,ef096f898c938883daab1b22e784cfaf985b5e5c855e170ecf6eab6f37b01b50,The standard or specification is licensed on a royalty-free basis,2ff574b1-4390-43e0-b6f2-6efd420056ab,1,0061f323-d9ce-48bc-a188-000f8facb942,"In accordance with Common Patent Policy for ITU-T/ITU-R/ISO/IEC the ISO 32000-1:2008 is licensed under (F)RAND basis and Royalty-free basis. Although  there are terms included that allow patent holder to apply specific costs. It is defined in IPR disclosures that can be found at ISO's webpage. 

See:
https://www.iso.org/iso-standards-and-patents.html
https://isotc.iso.org/livelink/livelink/fetch/2000/2122/3770791/16231513/2008-04-20_AdobeSystemsIncorporated_32000-1.pdf?nodeid=17314064&vernum=-2 "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A8,a67ecbc29e70e62b18dba3ae4f8d1f91d5b3196777dbf8b58c6713cd517eb768,The standard or specification is sufficiently mature and has sufficient market acceptance for its use in the development of products and services.,7b442c11-9e49-48f9-b0f1-ed61cd2cb27e,1,be9ff05d-e41c-495a-897f-0dee4fc97a15,"The ISO specifications are published to be able to respond to a market need which represent a consensus of an expert group. It was launched initially by Adobe in 1993 as a proprietary solution but free of charge. In July 1st, 2008 PDF became an Open Standard published by ISO. In addition, PDF is highly adopted as a document format for exchange information, which is technological independent. These facts demonstrate the maturity and market acceptance for its use in the development of products and services. "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A9,cf1de0bf03a8ee372af0deddf9ef5c4609f5a7bb9c7e001c89d887c6789eaf56,The standard or specification fosters the creation of innovative solutions.,ae35cafa-8201-4a5f-bd1d-9d36430088c8,0,282f50cc-181d-4a23-a55b-4f780bd73b6e,"At the moment of performing the assessment, PDF is widely used in across sector manner. One of the main document format used for the document exchange between different parties. A clear example of this are public administrations and the high usage of PDF as a document format to exchange information. However, it cannot be considered as an asset to build innovative solutions. "
6444f848f61f00f75035160a13167d70c6b2a6ca66e57baa036c4cd86ce42594,Portable Document Format v 1.7 (PDF 1.7),3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-12-31,3aadede3d912d8ab2b20d40221274da3af8f9ee9c14f0e1226f9217a3e8953e4,European Interoperability Framework (EIF),1badc7f61877080b095ce968bebe6f9f4f62e25d5dec241e4c88b232764a56d7,1819f787-117c-4d91-ae40-9d4522d05038,Portable Document Format v 1.7 (PDF 1.7),https://www.iso.org/standard/51502.html,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,12/31/2019,International Standard,A10,0229101dfe08cbe58da1e454363d30a8178a2e120466c8db23965488cae5c8b1,The standard or specification has a strong support from at least one developer community.,238bab77-3279-48e1-be78-02999183fe6e,1,99fffec5-9c0e-49b7-ab2d-53fc3d98b88f,"PDF 1.7 has the ISO community that supports the development of: International standards, Technical Specifications, Technical Report and Publicly Available Specification.

See:
http://www.isotc292online.org/projects/iso-process/"
