assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,The specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,12568fea-e1d7-4266-aec7-eaabb7e884b0,0,72cedf36-fc56-42b5-9f1f-8910edc01c41,"There is no Member State that includes Standard for Public Code in their national catalogue with The National Interoperability Framework (NIF) aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets.

CAMSS List of Standards:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,The specification facilitates the publication of public data as open data.,4e603f2b-6a06-4505-8919-14244788b5c4,1,9c9839dc-a2d2-452f-8a9f-2274fe639b19,"The Standard for Public Code provides public organizations with a model for building their open source solutions to enable successful future reuse by similar public organizations in other places. 

Besides, the standard also aims to make sure that the generated code is published to allow reuse for other parts and documented accordingly enabling other implementations. In this sense, the specification in itself fosters the publication of solutions as open data but also can contribute to creating solutions focused on the publication of open data. 

The Standard for Public Code webpage:
https://standard.publiccode.net/"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,01e9022d-26b6-4042-a386-a2bfdd5a781a,1,3ce2d163-ea60-4601-aa7c-410913dda058,"The project is based on openness and this philosophy has led to establish a framework for development that allows everyone with interest and knowledge to contribute to the improvement of the specification. 

The Standard for Public Code webpage:
https://standard.publiccode.net/

The Standard for Public Code contributing section: 
https://standard.publiccode.net/CONTRIBUTING.html"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,4186d60c-7474-424e-8bca-df70418999ef,1,9f9c90e0-2669-4faf-8456-2b7b30c70a01,"Standard for Public Code has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Moreover, the standard is currently evolving and the defined process is open, with complete access and rights to contribute meaning that everyone can participate with suggestions, issues, or problems while contributors can also make changes and document them directly. In this sense, the decision making process is constantly open to the community.

The Standard for Public Code webpage:
https://standard.publiccode.net/

The Standard for Public Code contributing section: 
https://standard.publiccode.net/CONTRIBUTING.html"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,The specification is available for everyone to study.,bbcb8d80-bdc9-4abb-bf4d-49d7a6288039,1,bbeb3ded-f65d-4bcb-a1d6-d3b10bb78706,"Standard for Public Code is publicly available for implementation and study for free in its dedicated webpage.

The Standard for Public Code webpage:
https://standard.publiccode.net/"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,The specification is licensed on a (F)RAND basis,f4fd82f3-5a64-4094-9463-ad4844340237,1,9b908d77-b45b-4b07-839e-4f8720d16cc6,"This standard is licensed CC-0, which essentially means that the project, along with the contributions, is in the public domain in whatever jurisdiction possible, and everyone can do whatever they want with it.

The Standard for Public Code webpage:
https://standard.publiccode.net/"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,The specification is licensed on a royalty-free basis,9d629699-3cac-4fb1-8d2c-1e8098d143e0,1,0260fa55-0e5a-45b4-8f8f-4c3b0bb97602,"This standard is licensed CC-0, which essentially means that the project, along with the contributions is in the public domain in whatever jurisdiction possible, and everyone can do whatever they want with it.

The Standard for Public Code webpage:
https://standard.publiccode.net/"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,The specification is sufficiently mature for its use in the development of products and services.,e65b67ef-007e-4a29-b2f4-07559f31ef10,0,fab62644-5334-40ab-ab6f-6798aa0b2854,"The specification was produced in 2019. The standard evolution involves many public technologists, policymakers, however, it is an ongoing work that can be further improved. At the same time, it can be implemented for the creation of products and services as part of the improvement process. Although the specification maturity has room for improvement, it is important to consider the option when developing products and services.

The Standard for Public Code webpage:
https://standard.publiccode.net"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,The specification has sufficient market acceptance for its use in the development of products and services.,bb9dbcad-5e69-47f4-825e-a18118aa314f,0,a612a748-ebc4-4461-9647-c51f38dbc393,"Even though it is a very recent standard produced in 2019, it has a strong community supporting it with a clear process of development. However, there are not relevant implementations supporting a wide market acceptance of the specification at the moment of performing the assessment. 

The Standard for Public Code webpage:
https://standard.publiccode.net"
f2dba2635732e7f4423c2372ad8dc48b4431caf859340e185dcf34231090a1bb,Standard for Public Code,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",80f8a3157a8cb862f3a914dd09dff5455635b7358806fccc9247baad4e3c6117,CAMSS TEAM,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,30 April 2021,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),1947f7448708ff5539674878abefc1dee36c97e41397243c16d6208c42a905ce,7465db45-4d89-4e8a-adce-c842ed3e1bc5,Standard for Public Code,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,30 April 2021						,International Standard,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,The specification fosters the creation of innovative solutions.,d88685ed-bbbc-4b83-b47b-01124d482b8e,1,c9e7a84f-af3d-4c56-ad43-180ca5439a6b,"The standard for Public Code gives public organizations a model for building their open source solutions to enable successful future reuse by similar public organizations in other places. The open-source for public code can, therefore, be considered as an asset in the creation of innovative solutions. The reusability and capacity to adapt and develop in such different ways ensure its reusability improving the effectiveness and efficiency. 

The Standard for Public Code webpage:
https://standard.publiccode.net/"
