assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,The specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,3fd40ce2-7e06-4739-83fa-dba464073a6d,0,da2aee11-64fe-41ff-bd00-bea5ee2827fd,"Better Regulation Toolbox  is not included in any national catalogue of recommended specifications whose Member State NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.

CAMSS List of Standards:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards"
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,The specification facilitates the publication of public data as open data.,939c85e3-6285-4f94-8150-e330334f44d9,2,47335d71-1905-49eb-b78b-bd4cefc0b22a,"Better Regulation Toolbox includes references to the relevance Open Data for the development of public policies. It is one of the principles or basis for the evidence-based development that the specification defines, however, the purpose of the specification is not related to the development and publication of Linked Open Data.

Betterr Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf

5-star linked open data:
https://www.w3.org/DesignIssues/LinkedData.html"
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,f9b7dbfc-32b4-40a1-9a82-9a4ac3ca7fed,2,84baed8f-8539-4186-a65c-a3ee3869f33b,"Not enough information has been found to answer positively or negatively to this criterion. No information related to the governance process of the Better regulation has been found to support the answer to the criterion. 

European Comission webpage:
https://ec.europa.eu/info/strategy/decision-making-process_en"
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,ca270541-3940-4282-99ce-831e4048f36f,2,17a53f49-c79b-4231-be45-5afe20478d62,"Not enough information has been found to answer positively or negatively to this criterion. No information related to the governance process of the Better regulation has been found to support the answer to the criterion. 

European Comission webpage:
https://ec.europa.eu/info/strategy/decision-making-process_en"
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,The specification is available for everyone to study.,f14c0f9f-1911-4893-9736-d2aa7af84f20,1,77bf0563-8ac8-475a-90c6-4107f9a9f0ca,"Better Regulation Toolbox is publicly available for everyone to study with no cost.

Better Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf"
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,The specification is licensed on a (F)RAND basis,e6ce7c3d-814e-4785-a406-362aaddf9e8d,1,cf0806c9-4e3a-440a-9613-60f20af768fe,"Better Regulation Toolbox is a public asset developed by a European Institution and can be accessed and reused without any payment conditions. Therefore, it can be considered that the specifications is licensed under royalty-free basis and (F)RAND basis. 

Better Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf"
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,The specification is licensed on a royalty-free basis,3bd042b4-f717-4e4f-a493-6188b2f97880,1,c26e4fd7-c28b-4500-beed-b661ac489898,"Better Regulation Toolbox is a public asset developed by a European Institution and can be accessed and reused without any payment conditions. Therefore, it can be considered that the specifications is licensed under royalty-free basis and (F)RAND basis. 

Better Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf "
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,The specification is sufficiently mature for its use in the development of products and services.,c43713e3-4d73-4a1d-8f5a-a5150c6d154d,1,caa678b1-450c-4359-9d5f-d4249fce9ad9,"The specification was formally defined between 2015 and 2017 with the experience and the expertise of the Member States that were closely working together to consolidate the specification. This fact demonstrates that guidelines have been agreed taking into account the experience from different stakeholders and it ensures its maturity by the time being.

Better Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf "
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,The specification has sufficient market acceptance for its use in the development of products and services.,83c7796f-fb54-4804-902b-23c47bbcdd4e,1,aca34741-e6d1-4915-a2a7-a25800b4950a,"Better Regulation Toolbox was developed between 2015 and 2017 aiming to help those involved in the creation of public policies and laws across the European Union. Its market acceptance lies in the European Public sector which has set Better regulation and the toolbox as the tools for the development, implementation and assessment of the impact of public policies and laws.

Better Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf . "
53dda622688ec60fee3356a0f42bb9099ee1d7c5a5045836aaae40287809e1e2,Better Regulation Toolbox,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",6f846ea971235b44bc71ad98ebc4643c66d709e6f12e0c00033a02c2cdcfe021,Camss Team,dc03fdba33ba33606e802b3a6b6fe67c2f21945bf21daee58012b477e0de91aa,Everis,,,,,2021-03-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),121193a8e270bc9666904b77a28db8810a9a0313df7bee88f2c572d3483e0e4e,dcae64c2-814e-4821-9994-58d032ab8a56,Better Regulation Toolbox,,35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2021-03-31,Generic Specification,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,The specification fosters the creation of innovative solutions.,8d1a941b-4bde-4ec9-b843-c7423b95eb09,1,df6d5f7b-feaa-47dd-b912-f05a3b9d5c05,"The Better regulation toolbox is an internal European Commission resource designed as a complement to the Commission's Better regulation guideline. It provides specific and operational guidance to those involved with the various better regulation instruments. These instruments aim to give support for the implementation, monitoring, and impact assessment of public policies and laws on which new and innovative solutions should be based. Therefore, it can be considered that the Better Regulation Toolbox fosters the creation of innovative solutions and services across Europe.

Better Regulation Toolbox reference:
https://ec.europa.eu/info/sites/info/files/better-regulation-toolbox_2.pdf ."
