assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,The specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,c6e9b58b-a3ce-43cf-9047-a16406881f4d,1,1ad8dfd0-d6ce-45e2-9b8c-1d52f9f0eca8,"PDF/A is included in 3 national catalogues of recommended specifications. They belong to Estonia, Spain and Sweden. The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets. 

National catalogue Estonia: 
https://www.mkm.ee/sites/default/files/interoperability-framework_2011.doc

National catalogue Spain:
https://administracionelectronica.gob.es/pae_Home/pae_Estrategias/pae_Interoperabilidad_Inicio/pae_Normas_tecnicas_de_interoperabilidad.html#CATALOGOESTANDARES

National catalogue Sweden:
https://www.avropa.se/globalassets/dokument/open-it-standards.pdf?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3d%3d&_t_q=standards&_t_tags=language%3asv%2csiteid%3a95d515a5-23ca-47bf-87a9-07b10d8ac360&_t_ip=178.139.72.144&_t_hit.id=Avropa_Core_Models_Media_GenericMedia/_ff07d720-f793-44b0-994d-27e79b28f6bd&_t_hit.pos=7

NIFO factsheets:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets"
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,The specification facilitates the publication of public data as open data.,c086df1f-7b7d-405b-8da3-c803920dfb8f,1,8620a614-3943-402f-9fed-43f4cca4d0e5,"As a document format, PDF/A helps to make data available on the internet. This fact demonstrates that the standard is supporting the first level of maturity from Tim Berners-Lee's 5-star schema for Open data.  

PDF/A reference:
https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html

Tim Berners-Lee 5-star schema for Open Data:   
https://5stardata.info/es/ "
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,3df49897-5876-4137-9104-97189f4e0120,1,e0f3c9a0-2773-47ef-9d61-33c7e40ed198,"ISO has defined a clear procedure to develop its standards. It consists in a 6-steps process where everyone who is interested can participate. However, if you want to participate, you have to contact your national standards body and you have to be approved for joining the Technical committee (TC) who will develop the standard. ISO has defined the roadmap of standards, it is composed of 6 steps as before said. For the approval of a standard the two-thirds majority of P-members of TC is needed. If the result is negative, the document is returned to TC/SC to be further studied.

The ISO standardization process: 
https://www.iso.org/stages-and-resources-for-standards-development.html"
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,8b40f136-d0f9-40eb-98be-2a96855abc59,0,fbcc3298-fd0d-4b28-8ddf-c891e2b6c8d8,"As defined on the TC standardisation, only TC members are involved in the development of ISO standards. A review is carried out to arrange the consensus firstly within the TC members and subsequently is reviewed by the different ISO member bodies. However, it cannot be considered a public review, because only TC members can participate.

The ISO standardization process: 
https://www.iso.org/stages-and-resources-for-standards-development.html"
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,The specification is available for everyone to study.,3af329ec-931c-47c5-a901-734478da5abd,0,5cdc2341-4cd3-45f7-8023-28322fb5e9cb,"The ISO 19005-1:2005 and ISO 19005-2:2011 which refer to PDF/A-1 and PDF/A-2 are not available for free for everyone to study. Payment is needed to reach access to the standard.

PDF/A reference:
https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html"
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,The specification is licensed on a (F)RAND basis,e0ce5490-a37f-4b75-be73-e755d90d1fab,0,91078fab-abd4-4ea5-91ae-ceb25a119743,"There are no disclosures of ISO IPR Database to identify the licensing under the specification. ISO 19005-1:2005 (PDF/A-1) and ISO 19005-2:2011 (PDF/A-2) are not listed in ISO/IEC/ITU Common Patent policy, so it cannot be confirmed that the specification is licensed on a (F)RAND basis.

ISO patents:
https://www.iso.org/iso-standards-and-patents.html 

ISO standards and patents IPR database:
http://isotc.iso.org/livelink/livelink/13622347/Patents_database.xls?func=doc.Fetch&nodeId=13622347 "
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,The specification is licensed on a royalty-free basis,ca8934e4-1dea-4cd2-b5ab-fcf7bc69f3d1,0,5a549b29-ce53-4fd9-ae7b-0e7ede33284e,"There are no disclosures of ISO IPR Database to identify the licensing under the specification. ISO 19005-1:2005 (PDF/A-1) and ISO 19005-2:2011 (PDF/A-2) are not listed in ISO/IEC/ITU Common Patent policy, so it cannot be confirmed that the specification is licensed on a (F)RAND basis.

ISO patents:
https://www.iso.org/iso-standards-and-patents.html 

ISO standards and patents IPR database:
http://isotc.iso.org/livelink/livelink/13622347/Patents_database.xls?func=doc.Fetch&nodeId=13622347 "
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,The specification is sufficiently mature for its use in the development of products and services.,ce419700-dd0d-4391-8eab-cd8365e6e011,1,08cc245a-2251-4852-a42d-c6cd5f0b22b3,"The ISO specifications are published to be able to respond to a market need which represent a consensus of an expert group. In 2005 PDF/A was published which specifies how to use the Portable Document Format (PDF) 1.4 for long-term preservation of electronic documents. These facts demonstrate the maturity and market acceptance for its use in the development of products and services. 

PDF/A reference:
https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html"
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,The specification has sufficient market acceptance for its use in the development of products and services.,62cf81da-4135-462e-a09c-ecca052495e8,1,18da84f1-31d9-4559-bdf8-cbd21bb0385b,"PDF/A is highly adopted as a document format for exchange information, which is technological independent. These facts demonstrate the maturity and market acceptance for its use in the development of products and services. 

PDF/A reference:
https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html"
f7f5a1c3e03801cfd326c4d990c8ef4c71b94918b54a13c03467dcbcf5ec54dd,Portable Document Format/A (PDF/A),3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2020-08-31,44119b394568e5be30da9b83729a3cba1f19eadd53373d5cc6ff6a73fd3e26e8,European Interoperability Framework (EIF),fa1ca0429a628b89323bf5677343ada8ad700197ca9a3d467e79de87beda3149,77d39fde-80c0-4adf-ac3a-a683298bde75,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",35d317bf5ee5f9080ac657da5237232cdba5d984a0bfbd88af91fbb8c659d506,Other SDO/SSO,,,,,,,,,,,,,2020-08-31,International Standard,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,The specification fosters the creation of innovative solutions.,b68c93f4-83ff-4b65-876f-bb8f6d152ea1,0,172d06ed-26e7-4816-a0e9-b78d73d5464f,"At the moment of performing the assessment, PDF/A is widely used in across sector manner. One of the main document format used for the document exchange between different parties, and to ensure the availability of documents' content over the time. A clear example of this are public administrations and the high usage of PDF as a document format to exchange information. However, it cannot be considered as an asset to build innovative solutions. 

PDF/A reference:
https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html"
