assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A1,8eb17470327d32b3bb523447fe72ee5c60ddb03e81dae318b485fbe05f48a844,The specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,444929d9-7d12-472d-b644-33c7700cd328,0,4153ef4f-78a0-48b8-bdce-1a8a849950a6,"At the moment of performing the assessment, there is no Member State that includes XACML in their national catalogue with The National Interoperability Framework (NIF) aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets.

CAMSS List of Standards:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards

National Interoperability Framework Observatory:  
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A2,02333ef99fbcb4f101a106bcf97c9559888756b085b1729b7c2ac9626dc4bc63,The specification facilitates the publication of public data as open data.,34f4be13-2f69-4114-890b-7cc1adf7eed4,2,dc7dc505-da6a-42a7-bfdc-9719ef5a9d99,"The purpose of the specification is not related with the publication of data. Therefore, this criterion is not applicable to this specification. 

XACML OASIS reference:
http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,0a8165a3-cccb-46f7-89ba-d5771e09610b,1,6d3a0b31-fc35-419e-aef5-834383bf125e,"OASIS has defined a clear Technical Committee (hereby TC) process where all the stakeholders involved have the opportunity to participate in the development of the specification development process.

OASIS guideline:
https://www.oasis-open.org/policies-guidelines/tc-process-2017-05-26"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,46390347-0063-465a-8951-40b33e32eb7c,1,5cd39fe4-6fa7-43a3-ac29-476de4007b6f,"OASIS has defined a clear process where all the stakeholders involved have the opportunity to participate in the development of the specification development process. Moreover, there is a public review in the TC process.
 
OASIS guideline:
https://www.oasis-open.org/policies-guidelines/tc-process-2017-05-26"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A5,31bf959b6c4a983ec70eb87e0177f2739575ebce42c7c3b95b9012ef3bfe673e,The specification is available for everyone to study.,4fbbe87f-1e4a-4faf-a3f0-1a09915ff62e,1,50f02b66-3e2c-4274-8ff0-39f42fd7ed0d,"XACML is publicly available for free on OASIS Webpage.

XACML OASIS reference:
http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A6,a81c4b8658f57e819297eb0b7977407f8d814c6fe749c74a8ac497277ca7d9d8,The specification is licensed on a (F)RAND basis,3ce59123-1a43-4951-99b9-44d3c07ffe77,1,9ea49a73-da97-46fe-8782-7240efa4336a,"The OASIS Technical Committee, in charge of the development of XACML, operates under RF on RAND Mode of the OASIS IPR Policy. The specification is licensed on a Royalty-free and (F)RAND basis.

OASIS IPR:
https://www.oasis-open.org/committees/security/ipr.php
https://www.oasis-open.org/policies-guidelines/ipr"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A7,1cd71a7b6d54631ba58cc8b0655a443d696f49ec74a0f4cccc871de7789d6a60,The specification is licensed on a royalty-free basis,70b5388f-0e9d-4061-b944-ae8e749c82dd,1,4a1089e0-e001-48d4-aab3-0dd1485247e0,"The OASIS Technical Committee, in charge of the development of XACML, operates under RF on RAND Mode of the OASIS IPR Policy. The specification is licensed on a Royalty-free and (F)RAND basis.

OASIS IPR:
https://www.oasis-open.org/committees/security/ipr.php
https://www.oasis-open.org/policies-guidelines/ipr"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A8,6bedf555bffb837990b9eb353447fa116eb9d2384770b1dd3de46d3c5901d4f4,The specification is sufficiently mature for its use in the development of products and services.,17001f8e-8253-4a35-ba4e-63f453e034dd,1,c7e9be2c-99a3-4d1d-ad67-a29d28ee1602,"The specification was developed in 2001, by OASIS. It has been evolved over the years demonstrating that it overcame the possible issues raised on the developement and implementation. Moreover, the version of the issue being assessed is the 3.0, which enforces the maturity of the spec for its use in the developement of products and services. 

XACML OASIS reference:
http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A9,d129862d6c9639e131c7d5eef095af16ef94d57ec0d52f955bf909ba8ec688e8,The specification has sufficient market acceptance for its use in the development of products and services.,b514b8c3-0363-4450-b87f-8396f550eb04,1,1d1a773b-0dd1-4bbd-99f1-f3d29ed150d8,"The specification has been implemented several times and in different environments, open source and commercial. Some examples of XACML implementations are Balana, AuthForce, or Security Policy Pool.

Balana Github: 
https://github.com/wso2/balana

AuthForce:
https://authzforce.ow2.org/

Security Pool:
https://securitypolicytool.com/

XACML OASIS reference:
http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html"
db95f3e0a5f606af0a0318849d8f1dc1c2f7747757068f9513305595d706fcaf,eXtensible Access Control Markup Language (XACML) v3.0,3.1.0,31/03/2020,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,,2020-09-30,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),1467c87128ba720b128f40df43147e0bb3617bc048b2e50a4d8e76b77d05daf2,2f133ea5-9b4b-4411-9de6-711908b081f5,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,2ea8014113d1baad45397361a10c5b39e782ca8b5765b0f8144aea8615fa552b,OASIS (https://www.oasis-open.org/),,,,,,,,,,,,,2020-09-30,Generic Specification,A10,21276471c1781fa2c7e78c8e03851e076b840beddbf5cf64f53b54b8855a01b8,The specification fosters the creation of innovative solutions.,b9e1e1e6-8b19-4e70-90ca-7e3d32551b59,0,4743ccd2-963a-4dd2-80b3-eb4cf6e9e272,"XACML is a de-fact standard markup language that is used in a wide variety of solutions, although it does not foster any innovative solutions."
